scenario (-),iteration (-),cycle_id (-),ts_sent (epoch_s),ts_received (epoch_s),aoi (s),status (-)
dos_light,iteration_1,14,1780259838.701086,1780259839.063485,0.362399,Fresh
dos_light,iteration_1,15,1780259839.689680,1780259840.072344,0.382664,Fresh
dos_light,iteration_1,16,1780259840.689082,1780259841.076936,0.387854,Fresh
dos_light,iteration_1,17,1780259841.678291,1780259842.078787,0.400496,Fresh
dos_light,iteration_1,18,1780259842.678777,1780259843.084013,0.405236,Fresh
dos_light,iteration_1,19,1780259843.674512,1780259844.091291,0.416779,Fresh
dos_light,iteration_1,20,1780259844.664747,1780259845.095724,0.430977,Fresh
dos_light,iteration_1,21,1780259845.674153,1780259846.096778,0.422625,Fresh
dos_light,iteration_1,22,1780259846.680750,1780259847.101975,0.421225,Fresh
dos_light,iteration_1,23,1780259847.675164,1780259848.104636,0.429472,Fresh
dos_light,iteration_1,24,1780259848.684454,1780259849.110309,0.425855,Fresh
dos_light,iteration_1,25,1780259849.684033,1780259850.113003,0.428970,Fresh
dos_light,iteration_1,26,1780259850.701128,1780259851.121962,0.420834,Fresh
dos_light,iteration_1,27,1780259851.687016,1780259852.123613,0.436597,Fresh
dos_light,iteration_1,28,1780259852.690269,1780259853.126647,0.436378,Fresh
dos_light,iteration_1,29,1780259853.694075,1780259854.130566,0.436491,Fresh
dos_light,iteration_1,30,1780259854.695578,1780259855.133821,0.438243,Fresh
dos_light,iteration_1,31,1780259855.689710,1780259856.135704,0.445994,Fresh
dos_light,iteration_1,32,1780259856.696653,1780259857.137773,0.441120,Fresh
dos_light,iteration_1,33,1780259857.691029,1780259858.140878,0.449849,Fresh
dos_light,iteration_1,34,1780259858.693395,1780259859.147120,0.453725,Fresh
dos_light,iteration_1,35,1780259859.700453,1780259860.151603,0.451150,Fresh
dos_light,iteration_1,36,1780259860.710126,1780259861.158415,0.448289,Fresh
dos_light,iteration_1,37,1780259861.705280,1780259862.168916,0.463636,Fresh
dos_light,iteration_1,38,1780259862.723559,1780259863.171834,0.448275,Fresh
dos_light,iteration_1,39,1780259863.713727,1780259864.178411,0.464684,Fresh
dos_light,iteration_1,40,1780259864.704709,1780259865.184173,0.479464,Fresh
dos_light,iteration_1,41,1780259865.708291,1780259866.187383,0.479092,Fresh
dos_light,iteration_1,42,1780259866.709967,1780259867.191732,0.481765,Fresh
dos_light,iteration_1,43,1780259867.707909,1780259868.205117,0.497208,Fresh
dos_light,iteration_1,44,1780259868.713877,1780259869.207945,0.494068,Fresh
dos_light,iteration_1,45,1780259869.707983,1780259870.211868,0.503885,Fresh
dos_light,iteration_1,46,1780259870.711819,1780259871.013501,0.301682,Fresh
dos_light,iteration_1,47,1780259871.735918,1780259872.216471,0.480553,Fresh
dos_light,iteration_1,48,1780259872.725623,1780259873.218049,0.492426,Fresh
dos_light,iteration_1,49,1780259873.724246,1780259874.219774,0.495528,Fresh
dos_light,iteration_1,50,1780259874.729062,1780259875.221304,0.492242,Fresh
dos_light,iteration_1,51,1780259875.725948,1780259876.023729,0.297781,Fresh
dos_light,iteration_1,52,1780259876.722814,1780259877.031928,0.309114,Fresh
dos_light,iteration_1,53,1780259877.733215,1780259878.032825,0.299610,Fresh
dos_light,iteration_1,54,1780259878.747971,1780259879.044068,0.296097,Fresh
dos_light,iteration_1,55,1780259879.770608,1780259880.051698,0.281090,Fresh
dos_light,iteration_1,56,1780259880.761205,1780259881.053886,0.292681,Fresh
dos_light,iteration_1,57,1780259881.749768,1780259882.067013,0.317245,Fresh
dos_light,iteration_1,58,1780259882.754110,1780259883.068871,0.314761,Fresh
dos_light,iteration_1,59,1780259883.763312,1780259884.082128,0.318816,Fresh
dos_light,iteration_1,60,1780259884.751389,1780259885.085625,0.334236,Fresh
dos_light,iteration_1,61,1780259885.757070,1780259886.089004,0.331934,Fresh
dos_light,iteration_1,62,1780259886.782439,1780259887.161025,0.378586,Fresh
dos_light,iteration_1,63,1780259887.753157,1780259888.162339,0.409182,Fresh
dos_light,iteration_2,14,1780259933.541472,1780259933.930933,0.389461,Fresh
dos_light,iteration_2,15,1780259934.549529,1780259934.933164,0.383635,Fresh
dos_light,iteration_2,16,1780259935.542268,1780259935.944947,0.402679,Fresh
dos_light,iteration_2,17,1780259936.549918,1780259936.954128,0.404210,Fresh
dos_light,iteration_2,18,1780259937.548696,1780259937.958399,0.409703,Fresh
dos_light,iteration_2,19,1780259938.558827,1780259938.960870,0.402043,Fresh
dos_light,iteration_2,20,1780259939.552050,1780259939.965552,0.413502,Fresh
dos_light,iteration_2,21,1780259940.552490,1780259940.967307,0.414817,Fresh
dos_light,iteration_2,22,1780259941.552707,1780259941.970325,0.417618,Fresh
dos_light,iteration_2,23,1780259942.560722,1780259942.992086,0.431364,Fresh
dos_light,iteration_2,24,1780259943.557399,1780259943.994843,0.437444,Fresh
dos_light,iteration_2,25,1780259944.559434,1780259944.998772,0.439338,Fresh
dos_light,iteration_2,26,1780259945.557085,1780259946.003194,0.446109,Fresh
dos_light,iteration_2,27,1780259946.556380,1780259947.007804,0.451424,Fresh
dos_light,iteration_2,28,1780259947.559437,1780259948.009828,0.450391,Fresh
dos_light,iteration_2,29,1780259948.562844,1780259949.015714,0.452870,Fresh
dos_light,iteration_2,30,1780259949.562974,1780259949.848315,0.285341,Fresh
dos_light,iteration_2,31,1780259950.574960,1780259950.851804,0.276844,Fresh
dos_light,iteration_2,32,1780259951.586806,1780259951.854397,0.267591,Fresh
dos_light,iteration_2,33,1780259952.566170,1780259952.857045,0.290875,Fresh
dos_light,iteration_2,34,1780259953.569470,1780259953.860011,0.290541,Fresh
dos_light,iteration_2,35,1780259954.572205,1780259954.862384,0.290179,Fresh
dos_light,iteration_2,36,1780259955.575474,1780259955.897186,0.321712,Fresh
dos_light,iteration_2,37,1780259956.583639,1780259956.900164,0.316525,Fresh
dos_light,iteration_2,38,1780259957.575755,1780259957.902853,0.327098,Fresh
dos_light,iteration_2,39,1780259958.582938,1780259958.905060,0.322122,Fresh
dos_light,iteration_2,40,1780259959.572334,1780259959.907091,0.334757,Fresh
dos_light,iteration_2,41,1780259960.578386,1780259960.910523,0.332137,Fresh
dos_light,iteration_2,42,1780259961.588689,1780259961.912544,0.323855,Fresh
dos_light,iteration_2,43,1780259962.578614,1780259962.946520,0.367906,Fresh
dos_light,iteration_2,44,1780259963.578995,1780259963.954298,0.375303,Fresh
dos_light,iteration_2,45,1780259964.580609,1780259964.957988,0.377379,Fresh
dos_light,iteration_2,46,1780259965.584314,1780259965.970515,0.386201,Fresh
dos_light,iteration_2,47,1780259966.579041,1780259966.981374,0.402333,Fresh
dos_light,iteration_2,48,1780259967.581784,1780259968.024356,0.442572,Fresh
dos_light,iteration_2,49,1780259968.585146,1780259969.026640,0.441494,Fresh
dos_light,iteration_2,50,1780259969.586250,1780259970.031876,0.445626,Fresh
dos_light,iteration_2,51,1780259970.587847,1780259971.034583,0.446736,Fresh
dos_light,iteration_2,52,1780259971.591521,1780259971.881107,0.289586,Fresh
dos_light,iteration_2,53,1780259972.593856,1780259972.884416,0.290560,Fresh
dos_light,iteration_2,54,1780259973.599648,1780259973.888155,0.288507,Fresh
dos_light,iteration_2,55,1780259974.598360,1780259974.892004,0.293644,Fresh
dos_light,iteration_2,56,1780259975.596637,1780259975.894890,0.298253,Fresh
dos_light,iteration_2,57,1780259976.602095,1780259976.897466,0.295371,Fresh
dos_light,iteration_2,58,1780259977.617062,1780259977.908946,0.291884,Fresh
dos_light,iteration_2,59,1780259978.616510,1780259978.912938,0.296428,Fresh
dos_light,iteration_2,60,1780259979.617462,1780259979.924415,0.306953,Fresh
dos_light,iteration_2,61,1780259980.648849,1780259980.926417,0.277568,Fresh
dos_light,iteration_2,62,1780259981.649333,1780259981.928630,0.279297,Fresh
dos_light,iteration_2,63,1780259982.655704,1780259982.931305,0.275601,Fresh
dos_light,iteration_3,14,1780260028.482152,1780260029.447399,0.965247,Fresh
dos_light,iteration_3,15,1780260029.469182,1780260030.454552,0.985370,Fresh
dos_light,iteration_3,16,1780260030.514080,1780260031.459825,0.945745,Fresh
dos_light,iteration_3,17,1780260031.500516,1780260032.471629,0.971113,Fresh
dos_light,iteration_3,18,1780260032.472131,1780260033.474201,1.002070,Fresh
dos_light,iteration_3,19,1780260033.470399,1780260034.477378,1.006979,Fresh
dos_light,iteration_3,20,1780260034.520920,1780260035.482534,0.961614,Fresh
dos_light,iteration_3,21,1780260035.514740,1780260036.484758,0.970018,Fresh
dos_light,iteration_3,22,1780260036.500398,1780260037.530371,1.029973,Fresh
dos_light,iteration_3,23,1780260037.603782,1780260038.542014,0.938232,Fresh
dos_light,iteration_3,24,1780260038.537927,1780260039.551838,1.013911,Fresh
dos_light,iteration_3,25,1780260039.547605,1780260040.562480,1.014875,Fresh
dos_light,iteration_3,26,1780260040.509482,1780260041.564384,1.054902,Fresh
dos_light,iteration_3,27,1780260041.499223,1780260042.570241,1.071018,Fresh
dos_light,iteration_3,28,1780260042.517778,1780260043.572677,1.054899,Fresh
dos_light,iteration_3,29,1780260043.536331,1780260044.575612,1.039281,Fresh
dos_light,iteration_3,30,1780260044.579711,1780260045.578212,0.998501,Fresh
dos_light,iteration_3,31,1780260045.525151,1780260046.581146,1.055995,Fresh
dos_light,iteration_3,32,1780260046.488882,1780260047.583025,1.094143,Fresh
dos_light,iteration_3,33,1780260047.540591,1780260048.586481,1.045890,Fresh
dos_light,iteration_3,34,1780260048.503400,1780260049.593961,1.090561,Fresh
dos_light,iteration_3,35,1780260049.514061,1780260050.596029,1.081968,Fresh
dos_light,iteration_3,36,1780260050.527902,1780260051.604014,1.076112,Fresh
dos_light,iteration_3,37,1780260051.523503,,,Missing
dos_light,iteration_3,38,1780260052.554194,1780260052.614186,0.059992,Fresh
dos_light,iteration_3,39,1780260053.541298,1780260054.638178,1.096880,Fresh
dos_light,iteration_3,40,1780260054.577795,1780260055.639883,1.062088,Fresh
dos_light,iteration_3,41,1780260055.531331,1780260056.654579,1.123248,Fresh
