scenario (-),iteration (-),cycle_id (-),ts_sent (epoch_s),ts_received (epoch_s),aoi (s),status (-)
baseline,iteration_1,14,1780259505.144914,1780259506.064505,0.919591,Fresh
baseline,iteration_1,15,1780259506.154299,1780259507.104237,0.949938,Fresh
baseline,iteration_1,16,1780259507.170993,1780259508.066098,0.895105,Fresh
baseline,iteration_1,17,1780259508.160421,1780259509.166570,1.006149,Fresh
baseline,iteration_1,18,1780259509.171478,1780259510.361380,1.189902,Fresh
baseline,iteration_1,19,1780259510.192070,1780259511.257658,1.065588,Fresh
baseline,iteration_1,20,1780259511.182583,1780259512.277579,1.094996,Fresh
baseline,iteration_1,21,1780259512.182814,1780259513.173474,0.990660,Fresh
baseline,iteration_1,22,1780259513.221390,1780259514.362120,1.140730,Fresh
baseline,iteration_1,23,1780259514.209958,1780259515.214471,1.004513,Fresh
baseline,iteration_1,24,1780259515.238111,1780259516.460329,1.222218,Fresh
baseline,iteration_1,25,1780259516.241549,1780259517.540790,1.299241,Fresh
baseline,iteration_1,26,1780259517.237420,1780259518.376097,1.138677,Fresh
baseline,iteration_1,27,1780259518.282116,1780259519.524256,1.242140,Fresh
baseline,iteration_1,28,1780259519.300211,1780259520.565247,1.265036,Fresh
baseline,iteration_1,29,1780259520.300143,1780259521.571769,1.271626,Fresh
baseline,iteration_1,30,1780259521.357748,1780259522.377311,1.019563,Fresh
baseline,iteration_1,31,1780259522.409639,1780259523.423835,1.014196,Fresh
baseline,iteration_1,32,1780259523.399051,1780259524.478097,1.079046,Fresh
baseline,iteration_1,33,1780259524.425475,1780259525.500893,1.075418,Fresh
baseline,iteration_1,34,1780259525.445189,1780259526.561014,1.115825,Fresh
baseline,iteration_1,35,1780259526.454924,1780259527.577384,1.122460,Fresh
baseline,iteration_1,36,1780259527.447868,1780259528.618546,1.170678,Fresh
baseline,iteration_1,37,1780259528.636725,1780259529.738357,1.101632,Fresh
baseline,iteration_1,38,1780259529.736653,1780259530.744363,1.007710,Fresh
baseline,iteration_1,39,1780259530.747111,1780259531.795089,1.047978,Fresh
baseline,iteration_1,40,1780259531.755467,1780259532.897582,1.142115,Fresh
baseline,iteration_1,41,1780259532.751327,1780259533.713296,0.961969,Fresh
baseline,iteration_1,42,1780259533.790853,1780259534.922070,1.131217,Fresh
baseline,iteration_1,43,1780259534.799805,1780259535.950243,1.150438,Fresh
baseline,iteration_1,44,1780259535.800792,1780259536.782490,0.981698,Fresh
baseline,iteration_1,45,1780259536.802500,1780259537.789519,0.987019,Fresh
baseline,iteration_1,46,1780259537.806249,1780259538.821989,1.015740,Fresh
baseline,iteration_1,47,1780259538.842400,1780259539.827793,0.985393,Fresh
baseline,iteration_1,48,1780259539.856510,1780259540.950014,1.093504,Fresh
baseline,iteration_1,49,1780259540.917732,1780259542.036618,1.118886,Fresh
baseline,iteration_1,50,1780259541.965190,1780259543.093657,1.128467,Fresh
baseline,iteration_1,51,1780259542.973538,1780259543.920411,0.946873,Fresh
baseline,iteration_1,52,1780259543.966330,1780259544.966884,1.000554,Fresh
baseline,iteration_1,53,1780259544.973513,1780259546.046275,1.072762,Fresh
baseline,iteration_1,54,1780259545.985208,1780259547.058506,1.073298,Fresh
baseline,iteration_1,55,1780259546.988192,1780259548.101371,1.113179,Fresh
baseline,iteration_1,56,1780259548.027125,1780259549.122473,1.095348,Fresh
baseline,iteration_1,57,1780259549.061252,1780259550.138293,1.077041,Fresh
baseline,iteration_1,58,1780259550.066577,1780259551.143368,1.076791,Fresh
baseline,iteration_1,59,1780259551.064231,1780259552.146256,1.082025,Fresh
baseline,iteration_1,60,1780259552.063726,1780259553.169951,1.106225,Fresh
baseline,iteration_1,61,1780259553.065480,1780259554.206108,1.140628,Fresh
baseline,iteration_1,62,1780259554.071568,1780259555.015134,0.943566,Fresh
baseline,iteration_1,63,1780259555.060491,1780259556.025824,0.965333,Fresh
baseline,iteration_2,14,1780259599.557734,1780259600.799897,1.242163,Fresh
baseline,iteration_2,15,1780259600.557785,1780259601.809332,1.251547,Fresh
baseline,iteration_2,16,1780259601.564635,1780259602.820742,1.256107,Fresh
baseline,iteration_2,17,1780259602.612316,1780259603.968349,1.356033,Fresh
baseline,iteration_2,18,1780259603.617096,1780259604.993320,1.376224,Fresh
baseline,iteration_2,19,1780259604.615199,1780259606.013862,1.398663,Fresh
baseline,iteration_2,20,1780259605.620878,1780259607.049892,1.429014,Fresh
baseline,iteration_2,21,1780259606.623315,1780259608.059802,1.436487,Fresh
baseline,iteration_2,22,1780259607.624039,1780259609.110334,1.486295,Fresh
baseline,iteration_2,23,1780259608.628507,1780259610.117200,1.488693,Fresh
baseline,iteration_2,24,1780259609.627976,1780259611.173982,1.546006,Fresh
baseline,iteration_2,25,1780259610.629646,1780259612.193743,1.564097,Fresh
baseline,iteration_2,26,1780259611.660664,1780259613.128035,1.467371,Fresh
baseline,iteration_2,27,1780259612.662590,1780259614.240851,1.578261,Fresh
baseline,iteration_2,28,1780259613.664733,1780259615.054066,1.389333,Fresh
baseline,iteration_2,29,1780259614.663008,1780259616.081684,1.418676,Fresh
baseline,iteration_2,30,1780259615.726232,1780259617.104414,1.378182,Fresh
baseline,iteration_2,31,1780259616.725108,1780259618.125387,1.400279,Fresh
baseline,iteration_2,32,1780259617.732857,1780259619.254838,1.521981,Fresh
baseline,iteration_2,33,1780259618.728756,1780259620.285166,1.556410,Fresh
baseline,iteration_2,34,1780259619.740520,1780259621.094943,1.354423,Fresh
baseline,iteration_2,35,1780259620.741150,1780259622.363978,1.622828,Fresh
baseline,iteration_2,36,1780259621.739892,1780259623.370645,1.630753,Fresh
baseline,iteration_2,37,1780259622.751550,1780259624.377154,1.625604,Fresh
baseline,iteration_2,38,1780259623.817106,1780259625.387640,1.570534,Fresh
baseline,iteration_2,39,1780259624.807088,1780259626.408101,1.601013,Fresh
baseline,iteration_2,40,1780259625.805606,1780259627.466704,1.661098,Fresh
baseline,iteration_2,41,1780259626.811236,1780259628.419111,1.607875,Fresh
baseline,iteration_2,42,1780259627.808071,1780259629.509588,1.701517,Fresh
baseline,iteration_2,43,1780259628.843100,1780259630.422153,1.579053,Fresh
baseline,iteration_2,44,1780259629.869092,1780259631.535368,1.666276,Fresh
baseline,iteration_2,45,1780259630.878536,1780259632.557163,1.678627,Fresh
baseline,iteration_2,46,1780259631.884356,1780259633.570097,1.685741,Fresh
baseline,iteration_2,47,1780259632.890531,1780259634.752145,1.861614,Fresh
baseline,iteration_2,48,1780259633.945988,1780259635.771931,1.825943,Fresh
baseline,iteration_2,49,1780259634.948021,1780259636.807160,1.859139,Fresh
baseline,iteration_2,50,1780259635.946015,1780259637.829812,1.883797,Fresh
baseline,iteration_2,51,1780259637.035667,1780259638.812354,1.776687,Fresh
baseline,iteration_2,52,1780259638.046660,1780259639.852804,1.806144,Fresh
baseline,iteration_2,53,1780259639.045212,1780259640.865101,1.819889,Fresh
baseline,iteration_2,54,1780259640.048755,1780259641.965319,1.916564,Fresh
baseline,iteration_2,55,1780259641.046364,1780259643.031963,1.985599,Fresh
baseline,iteration_2,56,1780259642.043404,1780259643.816334,1.772930,Fresh
baseline,iteration_2,57,1780259643.057154,1780259644.852355,1.795201,Fresh
baseline,iteration_2,58,1780259644.054907,1780259645.858257,1.803350,Fresh
baseline,iteration_2,59,1780259645.060057,1780259646.866696,1.806639,Fresh
baseline,iteration_2,60,1780259646.078535,1780259647.949106,1.870571,Fresh
baseline,iteration_2,61,1780259647.088250,1780259648.704297,1.616047,Fresh
baseline,iteration_2,62,1780259648.099180,1780259649.985270,1.886090,Fresh
baseline,iteration_2,63,1780259649.087281,1780259650.994019,1.906738,Fresh
baseline,iteration_3,14,1780259694.976056,1780259696.305497,1.329441,Fresh
baseline,iteration_3,15,1780259695.982103,1780259697.165565,1.183462,Fresh
baseline,iteration_3,16,1780259696.983985,1780259698.194449,1.210464,Fresh
baseline,iteration_3,17,1780259697.978345,1780259699.278057,1.299712,Fresh
baseline,iteration_3,18,1780259699.104010,1780259700.351525,1.247515,Fresh
baseline,iteration_3,19,1780259700.114572,1780259701.220667,1.106095,Fresh
baseline,iteration_3,20,1780259701.212748,1780259702.232827,1.020079,Fresh
baseline,iteration_3,21,1780259702.221322,1780259703.314348,1.093026,Fresh
baseline,iteration_3,22,1780259703.226463,1780259704.341808,1.115345,Fresh
baseline,iteration_3,23,1780259704.233391,1780259705.375618,1.142227,Fresh
baseline,iteration_3,24,1780259705.264565,1780259706.400700,1.136135,Fresh
baseline,iteration_3,25,1780259706.283103,1780259707.232590,0.949487,Fresh
baseline,iteration_3,26,1780259707.298470,1780259708.282368,0.983898,Fresh
baseline,iteration_3,27,1780259708.277115,1780259709.313387,1.036272,Fresh
baseline,iteration_3,28,1780259709.299948,1780259710.338913,1.038965,Fresh
baseline,iteration_3,29,1780259710.310567,1780259711.385018,1.074451,Fresh
baseline,iteration_3,30,1780259711.299947,1780259712.345962,1.046015,Fresh
baseline,iteration_3,31,1780259712.288026,1780259713.363398,1.075372,Fresh
baseline,iteration_3,32,1780259713.345551,1780259714.468292,1.122741,Fresh
baseline,iteration_3,33,1780259714.347915,1780259715.332237,0.984322,Fresh
baseline,iteration_3,34,1780259715.370810,1780259716.466078,1.095268,Fresh
baseline,iteration_3,35,1780259716.403747,1780259717.516795,1.113048,Fresh
baseline,iteration_3,36,1780259717.400939,1780259718.330154,0.929215,Fresh
baseline,iteration_3,37,1780259718.408262,1780259719.347502,0.939240,Fresh
baseline,iteration_3,38,1780259719.401341,1780259720.395404,0.994063,Fresh
baseline,iteration_3,39,1780259720.417596,1780259721.406117,0.988521,Fresh
baseline,iteration_3,40,1780259721.439075,1780259722.454863,1.015788,Fresh
baseline,iteration_3,41,1780259722.423607,1780259723.464169,1.040562,Fresh
baseline,iteration_3,42,1780259723.424894,1780259724.468939,1.044045,Fresh
baseline,iteration_3,43,1780259724.405479,1780259725.480098,1.074619,Fresh
baseline,iteration_3,44,1780259725.414743,1780259726.490019,1.075276,Fresh
baseline,iteration_3,45,1780259726.418029,1780259727.354634,0.936605,Fresh
baseline,iteration_3,46,1780259727.396786,1780259728.367909,0.971123,Fresh
baseline,iteration_3,47,1780259728.402369,1780259729.488450,1.086081,Fresh
baseline,iteration_3,48,1780259729.404328,1780259730.498550,1.094222,Fresh
baseline,iteration_3,49,1780259730.536899,1780259731.532378,0.995479,Fresh
baseline,iteration_3,50,1780259731.557171,1780259732.619113,1.061942,Fresh
baseline,iteration_3,51,1780259732.647307,1780259733.622227,0.974920,Fresh
baseline,iteration_3,52,1780259733.641163,1780259734.629758,0.988595,Fresh
baseline,iteration_3,53,1780259734.654717,1780259735.635235,0.980518,Fresh
baseline,iteration_3,54,1780259735.657350,1780259736.631867,0.974517,Fresh
baseline,iteration_3,55,1780259736.651650,1780259737.624235,0.972585,Fresh
baseline,iteration_3,56,1780259737.652143,1780259738.709581,1.057438,Fresh
baseline,iteration_3,57,1780259738.682182,1780259739.750353,1.068171,Fresh
baseline,iteration_3,58,1780259739.784795,1780259740.757560,0.972765,Fresh
baseline,iteration_3,59,1780259740.780242,1780259741.762477,0.982235,Fresh
baseline,iteration_3,60,1780259741.795748,1780259742.768638,0.972890,Fresh
baseline,iteration_3,61,1780259742.799361,1780259743.778532,0.979171,Fresh
baseline,iteration_3,62,1780259743.787342,1780259744.795604,1.008262,Fresh
baseline,iteration_3,63,1780259744.813206,1780259745.800603,0.987397,Fresh
mitm,iteration_1,14,1780260541.265694,1780260542.266508,1.000814,Fresh
mitm,iteration_1,15,1780260542.281677,1780260543.268779,0.987102,Fresh
mitm,iteration_1,16,1780260543.245123,1780260544.272143,1.027020,Fresh
mitm,iteration_1,17,1780260544.257966,1780260545.304907,1.046941,Fresh
mitm,iteration_1,18,1780260545.246416,1780260546.308507,1.062091,Fresh
mitm,iteration_1,19,1780260546.255738,1780260547.325973,1.070235,Fresh
mitm,iteration_1,20,1780260547.238575,1780260548.330288,1.091713,Fresh
mitm,iteration_1,21,1780260548.241632,1780260549.364351,1.122719,Fresh
mitm,iteration_1,22,1780260549.252434,1780260550.434181,1.181747,Fresh
mitm,iteration_1,23,1780260550.254120,1780260551.448100,1.193980,Fresh
mitm,iteration_1,24,1780260551.270764,1780260552.451365,1.180601,Fresh
mitm,iteration_1,25,1780260552.293081,1780260553.458323,1.165242,Fresh
mitm,iteration_1,26,1780260553.271323,1780260554.301423,1.030100,Fresh
mitm,iteration_1,27,1780260554.260370,1780260555.327968,1.067598,Fresh
mitm,iteration_1,28,1780260555.313392,1780260556.335303,1.021911,Fresh
mitm,iteration_1,29,1780260556.338937,1780260557.362155,1.023218,Fresh
mitm,iteration_1,30,1780260557.354721,1780260558.463549,1.108828,Fresh
mitm,iteration_1,31,1780260558.360932,1780260559.345182,0.984250,Fresh
mitm,iteration_1,32,1780260559.367546,1780260560.469486,1.101940,Fresh
mitm,iteration_1,33,1780260560.354964,1780260561.490792,1.135828,Fresh
mitm,iteration_1,34,1780260561.362823,1780260562.579699,1.216876,Fresh
mitm,iteration_1,35,1780260562.364240,1780260563.453050,1.088810,Fresh
mitm,iteration_1,36,1780260563.365807,1780260564.489560,1.123753,Fresh
mitm,iteration_1,37,1780260564.388141,1780260565.371476,0.983335,Fresh
mitm,iteration_1,38,1780260565.389425,1780260566.385601,0.996176,Fresh
